COUNTRY.UN_CODE,SPECIES.ALPHA_3_CODE,AREA.CODE,PRODUCTION_SOURCE_DET.CODE,MEASURE,PERIOD,VALUE,STATUS
16,FRF,6,CAPTURE,Q_tlw,2000,0,N
16,HCZ,77,CAPTURE,Q_tlw,2000,1,
16,GPX,77,CAPTURE,Q_tlw,2000,1,
16,SNX,77,CAPTURE,Q_tlw,2000,5,
16,EMP,77,CAPTURE,Q_tlw,2000,4,
16,PWT,77,CAPTURE,Q_tlw,2000,6,
16,SUR,77,CAPTURE,Q_tlw,2000,10,
16,WAH,77,CAPTURE,Q_tlw,2000,20,
16,SKJ,77,CAPTURE,Q_tlw,2000,19,
16,PBF,77,CAPTURE,Q_tlw,2000,0,
16,ALB,77,CAPTURE,Q_tlw,2000,626,
16,YFT,77,CAPTURE,Q_tlw,2000,88,
16,BET,77,CAPTURE,Q_tlw,2000,21,
16,SFA,77,CAPTURE,Q_tlw,2000,1,
16,BUM,77,CAPTURE,Q_tlw,2000,24,
16,BLM,77,CAPTURE,Q_tlw,2000,0,
16,MLS,77,CAPTURE,Q_tlw,2000,0,
16,SSP,77,CAPTURE,Q_tlw,2000,0,
16,SWO,77,CAPTURE,Q_tlw,2000,1,
16,TUX,77,CAPTURE,Q_tlw,2000,0,
16,LAG,77,CAPTURE,Q_tlw,2000,1,
16,CGX,77,CAPTURE,Q_tlw,2000,2,
16,BRZ,77,CAPTURE,Q_tlw,2000,0,
16,DOL,77,CAPTURE,Q_tlw,2000,15,
16,BAR,77,CAPTURE,Q_tlw,2000,0,N
16,THR,77,CAPTURE,Q_tlw,2000,0,
16,MAK,77,CAPTURE,Q_tlw,2000,0,
16,BSH,77,CAPTURE,Q_tlw,2000,0,
16,SKX,77,CAPTURE,Q_tlw,2000,0,
16,MZZ,77,CAPTURE,Q_tlw,2000,0,N
16,CRA,77,CAPTURE,Q_tlw,2000,0,N
16,SLV,77,CAPTURE,Q_tlw,2000,1,
16,OCT,77,CAPTURE,Q_tlw,2000,0,N
16,MOL,77,CAPTURE,Q_tlw,2000,0,
16,TLN,6,FRESHWATER,Q_tlw,2000,5,E
